"leave","country_code","gender","age","years_education","news_consumption","trust_people","trust_politicians","past_vote","immig_econ","immig_culture","country_attach","religion","climate_change","imp_tradition","imp_equality","income","eu_integration","trade_union","unemployed","train"
1,"AT","Female",77,8,60,4,2,"Yes",1,2,10,"Roman Catholic",3,1,2,0,0,0,FALSE,TRUE
0,"AT","Male",34,12,10,8,0,"Yes",5,3,9,"Protestant",3,3,3,1,4,0,FALSE,FALSE
0,"AT","Female",64,12,30,7,5,"Yes",7,7,10,"Roman Catholic",3,3,2,0,2,1,FALSE,TRUE
0,"AT","Male",54,13,90,8,7,"Yes",7,7,9,"Roman Catholic",4,2,2,1,2,1,FALSE,TRUE
0,"AT","Male",44,13,15,6,5,"No",4,6,7,"Roman Catholic",3,1,2,0,7,0,FALSE,FALSE
1,"AT","Female",53,11,35,3,0,"Yes",5,1,7,"Roman Catholic",5,1,2,0,0,1,FALSE,FALSE
0,"AT","Female",25,12,15,9,2,"No",10,9,6,"Islamic",3,3,3,0,4,0,FALSE,TRUE
0,"AT","Female",55,12,120,8,4,"Yes",8,8,10,"Roman Catholic",5,2,1,1,9,1,FALSE,TRUE
0,"AT","Male",75,4,15,9,9,"Yes",8,10,9,"Roman Catholic",2,3,5,0,9,1,FALSE,TRUE
0,"AT","Female",69,11,30,1,2,"Yes",3,3,8,"Roman Catholic",4,4,2,0,6,0,FALSE,TRUE
0,"AT","Male",47,12,15,6,5,"Yes",8,7,7,"Roman Catholic",3,4,1,1,7,0,FALSE,TRUE
1,"AT","Male",67,14,60,2,1,"Yes",2,4,10,"Roman Catholic",2,2,3,1,1,1,FALSE,FALSE
0,"AT","Female",63,16,20,5,3,"No",7,7,9,"Other",4,4,1,0,5,1,FALSE,FALSE
1,"AT","Female",58,9,20,2,1,"No",5,0,6,"Roman Catholic",3,2,3,1,1,0,FALSE,TRUE
1,"AT","Female",60,13,60,3,7,"Yes",5,7,9,"Roman Catholic",3,1,2,1,2,0,FALSE,FALSE
0,"AT","Female",59,9,10,3,6,"Yes",6,2,9,"Roman Catholic",3,2,2,1,0,1,FALSE,TRUE
1,"AT","Female",26,12,30,7,5,"Yes",1,1,7,"Roman Catholic",3,3,3,0,1,0,FALSE,FALSE
0,"AT","Male",65,15,180,8,1,"No",5,3,10,"Roman Catholic",3,2,1,0,4,1,FALSE,FALSE
1,"AT","Female",30,16,30,4,4,"Yes",5,6,8,"Roman Catholic",3,2,2,0,2,1,FALSE,TRUE
0,"AT","Female",74,7,90,8,2,"Yes",3,2,10,"Roman Catholic",3,1,3,0,0,0,FALSE,TRUE
0,"AT","Male",74,12,180,5,4,"Yes",0,0,8,"Roman Catholic",2,2,1,1,9,0,FALSE,TRUE
0,"AT","Male",58,13,60,4,3,"Yes",8,7,9,"Roman Catholic",4,2,1,1,8,1,FALSE,FALSE
0,"AT","Male",60,12,60,5,2,"Yes",0,0,10,"Roman Catholic",4,4,2,0,2,1,FALSE,FALSE
1,"AT","Male",63,12,90,5,5,"Yes",3,3,9,"Roman Catholic",4,3,3,0,4,0,FALSE,TRUE
0,"AT","Male",56,14,120,5,1,"Yes",5,2,10,"Roman Catholic",4,2,2,1,0,1,FALSE,FALSE
0,"AT","Male",60,17,120,5,4,"Yes",7,7,3,"Jewish",4,2,2,1,4,1,FALSE,TRUE
0,"AT","Female",24,13,60,5,6,"Yes",7,8,9,"Roman Catholic",1,1,1,0,8,1,FALSE,FALSE
0,"AT","Male",61,11,135,6,4,"Yes",2,2,8,"Roman Catholic",3,2,3,1,3,1,FALSE,FALSE
0,"AT","Female",34,13,30,8,5,"Yes",5,5,9,"Roman Catholic",2,1,2,0,4,0,FALSE,TRUE
0,"AT","Female",25,12,30,6,6,"Yes",5,5,8,"Roman Catholic",2,1,2,0,7,0,FALSE,FALSE
1,"AT","Female",29,12,30,7,6,"Yes",7,6,9,"Roman Catholic",3,3,3,1,5,0,FALSE,FALSE
0,"AT","Male",67,12,60,8,4,"Yes",4,3,8,"Roman Catholic",3,1,1,1,0,0,FALSE,FALSE
0,"AT","Female",29,18,60,9,2,"Yes",9,10,7,"Roman Catholic",3,2,1,0,5,0,FALSE,FALSE
0,"AT","Male",76,17,120,5,7,"Yes",5,5,6,"Roman Catholic",2,4,4,0,10,1,FALSE,FALSE
0,"AT","Female",41,12,30,4,4,"Yes",7,6,8,"Roman Catholic",3,2,1,0,6,1,FALSE,FALSE
0,"AT","Male",75,8,20,8,2,"No",3,3,9,"Roman Catholic",3,2,2,0,2,1,FALSE,FALSE
0,"AT","Female",23,13,30,6,5,"Yes",6,6,5,"Roman Catholic",4,2,2,1,6,0,FALSE,FALSE
0,"AT","Female",56,16,30,3,3,"Yes",4,2,9,"Roman Catholic",1,2,2,0,3,0,FALSE,TRUE
0,"AT","Female",78,8,30,6,7,"Yes",7,5,9,"Roman Catholic",1,2,2,0,6,0,FALSE,TRUE
1,"AT","Female",46,9,30,4,10,"Yes",0,0,0,"Roman Catholic",1,5,1,1,3,0,FALSE,FALSE
1,"AT","Female",58,12,10,8,3,"Yes",4,0,10,"Protestant",3,1,2,0,3,0,FALSE,TRUE
0,"AT","Female",62,12,20,7,5,"Yes",5,5,10,"Roman Catholic",3,1,2,0,7,0,FALSE,TRUE
0,"AT","Male",54,13,15,6,4,"Yes",6,4,9,"Roman Catholic",4,2,2,0,3,1,FALSE,FALSE
0,"AT","Male",64,11,60,7,3,"Yes",4,3,7,"Roman Catholic",3,1,2,0,6,0,FALSE,TRUE
0,"AT","Male",53,12,20,6,6,"Yes",6,4,10,"Roman Catholic",2,4,3,0,4,0,FALSE,FALSE
1,"AT","Male",75,12,60,4,4,"Yes",3,2,10,"Roman Catholic",1,2,3,0,3,1,FALSE,TRUE
0,"AT","Female",70,11,120,6,7,"Yes",4,3,10,"Roman Catholic",3,1,2,1,0,1,FALSE,FALSE
0,"AT","Male",37,16,45,5,6,"No",8,7,7,"Protestant",4,2,2,1,10,0,FALSE,FALSE
0,"AT","Female",27,13,10,8,5,"Yes",6,6,9,"Roman Catholic",4,3,2,0,5,0,FALSE,TRUE
1,"AT","Female",29,12,15,8,2,"Yes",1,3,9,"Roman Catholic",4,4,2,0,1,0,TRUE,TRUE
0,"AT","Female",34,20,30,5,2,"Yes",4,5,10,"Roman Catholic",3,1,1,1,6,0,FALSE,FALSE
0,"AT","Male",30,13,30,4,4,"Yes",5,3,6,"Roman Catholic",2,2,5,1,4,1,FALSE,FALSE
0,"AT","Female",63,13,30,7,5,"Yes",4,4,7,"Roman Catholic",3,1,1,1,0,0,FALSE,FALSE
1,"AT","Female",20,12,60,8,6,"Yes",1,0,7,"Roman Catholic",2,1,3,0,6,0,FALSE,TRUE
