"","ONSConstID","ConstituencyName","HouseWageRatio","UnempConstRate","UnempConstRateChange","WageMedianConst","social_mobility_score","deprivation_index_score"
"1","E14000530","Aldershot",9.77835723598436,0.0160164552733636,-0.0142419064983924,590,-24.946251960043,14.2649201990504
"2","E14000531","Aldridge-Brownhills",6.86641483516483,0.0308128535972504,-0.0214270750870941,560,12.1113497050278,17.2656340319374
"3","E14000532","Altrincham and Sale West",8.15481986368062,0.020310753025076,-0.00672474431096849,790,103.846117076809,9.64226741124033
"4","E14000533","Amber Valley",5.5935650887574,0.0328749362106261,-0.0170346256368474,520,-37.1111811526178,20.8067372372032
"5","E14000534","Arundel and South Downs",12.608764186633,0.0136387805390683,-0.00595235561440554,610,-54.8717153267477,10.5220368673023
"6","E14000535","Ashfield",5.18476621417798,0.0382785551504411,-0.0158182097641753,510,-30.7150298455303,25.7564516377612
"7","E14000536","Ashford",9.61538461538461,0.0324148503273279,-9.64314922899875e-05,570,11.8814626068512,17.4987345070423
"8","E14000537","Ashton-under-Lyne",5.70367132867133,0.0589994259317016,-0.00430436060069948,440,-30.529655855946,31.4257319903464
"9","E14000538","Aylesbury",10.1857887874837,0.0181107098696726,-0.00785593373390551,590,30.6655560297143,12.1173118716111
"10","E14000539","Banbury",10.0994132985658,0.0159332137691187,-0.00815418469014479,590,11.001719113483,13.1813613458914
"11","E14000540","Barking",10.4249325236167,0.0518571528438,-0.0320388737589292,570,12.4414104222853,35.282735105867
"12","E14000541","Barnsley Central",5.43269230769231,0.0473768673025675,-0.0206485585602504,460,-36.0265764131706,29.6510382764501
"13","E14000542","Barnsley East",4.90998363338789,0.0466217731336459,-0.0253802479407755,470,-35.6308745920661,31.9031327017834
"14","E14000543","Barrow and Furness",4.27350427350427,0.0329339474170381,-0.0111078067958366,630,-15.7054672169157,27.6692163748
"15","E14000544","Basildon and Billericay",9.52380952380952,0.0382177144020768,-0.0104185670631541,630,14.8001839309167,22.6707563474094
"16","E14000545","Basingstoke",8.38117106773823,0.0230060106949043,-0.0119703051056886,670,23.0474870939733,13.5631804489474
"17","E14000546","Bassetlaw",5.44871794871795,0.0361634928331887,-0.00458162822490321,540,-22.9700079620414,22.9424058797293
"18","E14000547","Bath",11.4718934911243,0.0268205616873385,-0.00364434424887639,650,-15.9525523742538,13.1776886352302
"19","E14000548","Batley and Spen",4.78955007256894,0.0497056505003183,-0.00752502037830755,530,-32.3037005593466,24.8403514157946
"20","E14000549","Battersea",17.0120607787274,0.0232205431568851,-0.0136002968079507,810,53.5989843702944,18.6477690059014
"21","E14000550","Beaconsfield",14.4907908992416,0.0137056373940714,-0.00748211807983087,710,24.1036068718636,8.35646426572867
"22","E14000551","Beckenham",12.3272928994083,0.0161574575403629,-0.00951823923729663,780,73.0270150731111,10.1898539270086
"23","E14000552","Bedford",8.74125874125874,0.0546668299299377,-0.0091447934824438,550,2.37823947906583,23.6647358261778
"24","E14000553","Bermondsey and Old Southwark",15.892094017094,0.0436272152566332,-0.0155118449522812,720,66.7991299344155,29.5621989183942
"25","E14000554","Berwick-upon-Tweed",6.97586726998492,0.0273896082167811,-0.00645981128273389,510,-4.08984843995626,18.7567399375829
"26","E14000555","Bethnal Green and Bow",13.9353400222965,0.0474999383240467,-0.0361977930615067,690,79.901442301268,37.4867409350661
"27","E14000556","Beverley and Holderness",5.63660477453581,0.0240173983460045,-0.0148183671004726,580,7.53095436347981,15.5613005567161
"28","E14000557","Bexhill and Battle",10.3410740203193,0.0285008246976248,-0.00410498327590821,530,24.4182350407943,16.0865265350033
"29","E14000558","Bexleyheath and Crayford",11.0576923076923,0.0242439583075003,-0.0194255992628056,600,54.4413880244341,17.1508436676581
"30","E14000559","Birkenhead",5.00801282051282,0.0788740573703777,-0.0167202015537679,480,-10.5913329063631,40.7743733615079
"31","E14000560","Birmingham, Edgbaston",7.38960113960114,0.0767169243588406,-0.00792242738134015,540,22.9642027323522,30.7725434440802
"32","E14000561","Birmingham, Erdington",6.00961538461539,0.107427486407024,-0.00927059394903634,480,-51.4762254793298,45.1661301446164
"33","E14000562","Birmingham, Hall Green",7.48076923076923,0.101352014876344,-0.00732562434279008,500,59.1636847517455,39.3227884086043
"34","E14000563","Birmingham, Hodge Hill",6.26118067978533,0.128406130620672,-0.0294772653940422,430,-16.8488482657771,50.2457858651411
"35","E14000564","Birmingham, Ladywood",6.37237762237762,0.132584734501259,-0.0261775320043049,550,-0.394250742986095,49.1536041605761
"36","E14000565","Birmingham, Northfield",5.6980056980057,0.0837416016138463,-0.0139256767287762,540,-57.443152816309,37.283866093093
"37","E14000566","Birmingham, Perry Barr",6.26022913256956,0.105446187653478,0.0014199608382206,470,2.00372222956017,36.390790610673
"38","E14000567","Birmingham, Selly Oak",6.35302197802198,0.0670850272826728,-0.00934766299845964,560,42.8070992781599,29.5429706810744
"39","E14000568","Birmingham, Yardley",6.10207100591716,0.0859869156009294,-0.0170974641615582,520,-9.56006593773946,39.7253549703542
"40","E14000569","Bishop Auckland",4.80769230769231,0.0563945872137202,-0.00228062060670457,500,14.450741276005,28.6996007357167
"41","E14000570","Blackburn",4.91452991452991,0.0788073583966758,0.0100200309697945,450,-10.3005193006636,37.5936471901126
"42","E14000571","Blackley and Broughton",5.60200668896321,0.0883313893230624,0.00223427108389224,460,5.57881902191655,46.9287288169886
"43","E14000572","Blackpool North and Cleveleys",5.24475524475525,0.0593347975027764,0.00734113811355563,440,-19.5177763435131,32.4623929449287
